Respondent_Serial,Wavemarker,Weightvar,resp_gender,resp_age,census_region,state,urb_rur,gender,gender_other,sexual_orientation,sexual_other,hurricane_type,flood_type,wildfire_type,tornado_type,earthquake_type,ice_storm_type,hazardous_type,other_type,none_type,concern_disaster,prepared_disaster,ever_evacuate,long_away,evacuated_pet_owner,dog_left_behind,cat_left_behind,horse_left_behind,small_left_behind,livestock_left_behind,none_left_behind,pet_friendly_accom_reason,transportation_reason,carrier_reason,time_reason,financal_reason,fine_reason,not_home_reason,behaviour_reason,other_reason,other_text_reason,disaster_plan,dog_current_own,cat_current_own,horse_current_own,small_current_own,livestock_current_own,would_bring_pet,secured_transportation,secured_emergency_housing,travel_carrier,food_water,litter,pet_id,medication,other_supplies,none_supplies,none,microchip_have,id_have,none_have,support_gov_fund,advice_pet,living_situation,marital,household_income,education,race,white_race,black_race,native_race,asian_race,pacific_islander_race,other_race,perfer_not_race,hispanic_ethnicity,household_grou,age_children,num_children
69,1,1.63,Male,23,South,Texas,Urban,Two Spirit,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,Yes,more than one week,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,1,,,,,Yes,Yes,No,No,No,No,No,Yes,No,No,,No,Yes,No,Yes,Ifk,Rent,"Single, never married","Less than $5,000",GED or alternative credential,Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,Almost all of it,None Under 18,0
70,1,0.47,Male,41,South,Texas,Suburban,Man,,Straight/heterosexual,,Yes,Yes,No,Yes,No,No,No,No,No,Not concerned at all,Very prepared,Yes,1-3 day,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,,,,2,,No,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,No,...@,Live with parents/relatives,"Single, never married","$30,000-$34,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
71,1,0.47,Female,40,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,"have a carrier and leash, get them microchipped",Own a house,Living with partner,"$45,000-$49,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
73,1,0.69,Female,69,Midwest,Ohio,Rural,Woman,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,No,No,Not concerned at all,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,Have a carrier for smaller pets and a crate for larger pets to easily evacuate either on your own or by rescue team,Own a house,Married,"$60,000-$64,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
74,1,0.49,Female,26,South,Texas,Suburban,Woman,,Bisexual,,No,Yes,No,Yes,No,No,No,No,No,Not concerned at all,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,No,Rent,Married,"$65,000-$69,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
75,1,0.44,Female,51,Northeast,Pennsylvania,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,1,,Yes,No,Yes,No,Yes,No,No,Yes,No,No,,No,Yes,No,Not sure,Responsibility,Own a house,"Single, never married","$50,000-$54,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
76,1,0.63,Female,28,Northeast,Pennsylvania,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Not prepared at all,No,,,,,,,,,,,,,,,,,,,No,,1,,,,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,Not sure,Here kitty kitty,Live with parents/relatives,"Single, never married","$5,000-$9,999",GED or alternative credential,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
78,1,1.73,Female,24,Northeast,New Jersey,Urban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Not prepared at all,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,Yes,Take good care of them,Rent,"Single, never married","Less than $5,000",GED or alternative credential,Hispanic or Latino (all other races/multiple races),No,No,No,No,No,No,Yes,Yes,All of it,6-12 Only,1
79,1,0.63,Female,34,South,Florida,Urban,Woman,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Ensure they have proper id (microchip is best) so they can be reunited should there be separation,Own a condo/co-op,"Single, never married","$20,000-$24,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,Under 6 only,1
80,1,1.42,Female,29,South,Texas,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,Yes,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,0,0,0,1,0,Yes,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,Keep a bag ready for them like you would a family member,Own a house,Married,"$30,000-$34,999",GED or alternative credential,Hispanic or Latino (White or Caucasian),Yes,No,No,No,No,No,No,Yes,Almost all of it,Under 6 only,2
82,1,0.73,Male,62,South,Florida,Suburban,Man,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,Yes,1,1,0,0,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,No,Yes,Have back supplies ready in case you have to leave,Own a house,Divorced or separated,"$15,000-$19,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
83,1,0.44,Female,42,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,,,,,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,,Yes,No,No,Yes,Make sure to have what you need. Also give pets meds for stress during disaster situations,Own a house,Married,"$60,000-$64,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
84,1,0.85,Female,69,West,Colorado,Rural,Woman,,Straight/heterosexual,,No,No,Yes,No,No,No,No,No,No,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,I really don’t have any advice,Rent,Married,"$20,000-$24,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
87,1,0.47,Male,44,South,South Carolina,Suburban,Man,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Somewhat not concerned,Very prepared,Yes,more than one week,No,,,,,,,,,,,,,,,,,Yes,0,0,0,1,0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Not sure,Bring them along. Don't leave them.,Own a house,Divorced or separated,"$45,000-$49,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
88,1,0.63,Male,34,South,North Carolina,Rural,Man,,Straight/heterosexual,,Yes,Yes,No,Yes,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,0,0,0,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,Yes,Yes,No,Yes,"Have food, any medications, tags, and shot records avaliable",Own a house,Divorced or separated,"$55,000-$59,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
90,1,1.27,Female,33,South,North Carolina,Rural,Woman,,Straight/heterosexual,,Yes,Yes,No,Yes,No,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Have animal things that they need pack away in an emergency kit,Rent,"Single, never married","Less than $5,000","Associate's degree (AA, AS, etc.)",Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,All of it,Under 6 only,1
91,1,0.46,Female,46,West,Nevada,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,Yes,No,No,No,No,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,3,,,,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,No,no idea,Own a house,Married,"$55,000-$59,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,13-17 Only,1
92,1,0.47,Female,51,Northeast,Massachusetts,Urban,Woman,,Straight/heterosexual,,Yes,No,No,No,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Make sure you have food packed,Rent,"Single, never married","$45,000-$49,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
94,1,2.21,Female,65,West,California,Suburban,Woman,,Straight/heterosexual,,No,No,Yes,No,Yes,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,Not sure,Your pets are part of the family.  Don't forget them when a disaster comes.  Be prepared.,Own a house,Married,"$75,000-$79,999","Bachelor's degree (BA, BS, etc.)",Asian/Pacific Islander,Yes,No,No,Yes,No,No,No,No,About half of it,None Under 18,0
96,1,1.39,Female,55,Midwest,Illinois,Suburban,Woman,,Bisexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,1,,,,,Yes,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,Yes,Don't lea pets behind to be abandoned,Own a house,"Single, never married","$55,000-$59,999","Bachelor's degree (BA, BS, etc.)",Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,All of it,None Under 18,0
97,1,1.73,Female,21,South,Florida,Suburban,Woman,,Bisexual,,Yes,Yes,No,No,No,No,No,No,No,Somewhat concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,Not sure,0,0,0,0,0,Yes,No,No,No,Yes,No,No,Yes,No,No,,No,No,Yes,Yes,Keep an eye on them,Other,"Single, never married","Less than $5,000",Regular High School Diploma,Hispanic or Latino (Black or African-American),No,Yes,No,No,No,No,No,Yes,Less than half of it,None Under 18,0
98,1,0.64,Female,64,South,South Carolina,Suburban,Woman,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Very concerned,Somewhat prepared,Yes,4-7 days,Yes,No,No,No,No,No,Yes,,,,,,,,,,,Yes,1,0,0,0,0,Yes,Yes,No,No,Yes,No,No,Yes,No,No,,No,Yes,No,No,Plan ahead and remember your pet is a member of your family.Prepare for them like any other family member.,Own a house,Married,"$70,000-$74,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,13-17 Only,1
104,1,1.22,Male,40,South,Virginia,Rural,Man,,Bisexual,,Yes,No,No,No,No,No,No,No,No,Very concerned,Neither prepared nor not prepared,Yes,1-3 day,No,,,,,,,,,,,,,,,,,No,1,1,0,0,0,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,Yes,No,No,Yes,Please dont forget them.,Own a house,Married,"$65,000-$69,999","1 or more years of college credit, no degree",Hispanic or Latino (all other races/multiple races),No,No,No,Yes,No,No,No,Yes,All of it,None Under 18,0
105,1,1.42,Female,76,South,Alabama,Suburban,Woman,,Straight/heterosexual,,Yes,No,No,Yes,No,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Prepare a safe way to transport them,Own a house,Married,"$125,000-$149,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
106,1,1.34,Male,28,Northeast,New Jersey,Urban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,0,1,0,0,0,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,Yes,Make sure to calm down your pet & evacuate quickly,Live with parents/relatives,"Single, never married","$25,000-$29,999","1 or more years of college credit, no degree",Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,Less than half of it,None Under 18,0
108,1,0.89,Female,57,Midwest,Ohio,Suburban,Woman,,Straight/heterosexual,,No,Yes,No,Yes,No,Yes,No,No,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,Yes,have food in plastic ready to go,Own a house,"Single, never married","$5,000-$9,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
110,1,0.64,Female,57,South,Arkansas,Suburban,Woman,,Straight/heterosexual,,No,Yes,No,Yes,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Have an emergency kit for the pet prepared ahead of time.,Rent,Divorced or separated,"$50,000-$54,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
111,1,1.78,Male,23,Midwest,Ohio,Urban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,Not sure,,,,,,,,,,,,,,,,,,,,Not sure,Unsure,Rent,"Single, never married","Less than $5,000",Regular High School Diploma,Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,About half of it,None Under 18,0
112,1,1.13,Female,21,Midwest,Illinois,Suburban,Woman,,Lesbian,,No,No,No,No,No,No,No,No,Yes,Very concerned,Not prepared at all,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Grab your pet and start running,Rent,Married,"$45,000-$49,999",Regular High School Diploma,Black or African-American (not Hispanic or Latino),No,Yes,No,No,No,No,No,No,About half of it,Under 6 only,1
113,1,1.54,Female,61,Midwest,Michigan,Rural,Woman,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Neither concerned nor not concerned,Neither prepared nor not prepared,Yes,1-3 day,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,Just like for yourself have food and bottled water available for your pet,Own a house,Married,"$90,000-$99,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
114,1,1.73,Female,33,Northeast,New York,Rural,Woman,,Bisexual,,No,Yes,No,No,No,Yes,No,No,No,Very concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,2,,,,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,,No,Yes,No,Yes,Keep leashes/harnesses next to door so you can quickly grab them,Rent,Married,"$20,000-$24,999","1 or more years of college credit, no degree",Hispanic or Latino (White or Caucasian),Yes,No,No,No,No,No,No,Yes,All of it,6-12 and 13-17,3
115,1,1.88,Male,28,Midwest,Illinois,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Very concerned,Very prepared,Yes,more than two weeks,No,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,None,Rent,"Single, never married","$50,000-$54,999","Master's degree (MA, MS, MBA, etc.)",Hispanic or Latino (Black or African-American),No,Yes,No,No,No,No,No,Yes,All of it,None Under 18,0
117,1,0.7,Male,47,Northeast,New York,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,None,Own a house,Widowed,"$40,000-$44,999","Bachelor's degree (BA, BS, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,All of it,None Under 18,0
120,1,0.99,Male,45,Northeast,New York,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Not sure,1,2,,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,Yes,No,Not sure,None,Own a house,Married,"$100,000-$124,999","Some college credit, but less than 1 year",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,13-17 Only,2
122,1,0.51,Female,22,Northeast,Pennsylvania,Rural,Woman,,Straight/heterosexual,,Yes,Yes,No,No,No,Yes,No,No,No,Somewhat concerned,Neither prepared nor not prepared,Yes,more than two weeks,Yes,No,No,No,No,No,Yes,,,,,,,,,,,No,1,,,,,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,No,No,Not sure,"Don’t leave them behind, take them with you and figure it out. They’re family and deserve to be treated as such.",Own a house,Living with partner,"$35,000-$39,999",GED or alternative credential,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,Under 6 only,2
124,1,1.09,Female,31,South,Kentucky,Rural,Woman,,Straight/heterosexual,,No,No,No,Yes,No,No,No,No,No,Very concerned,Very prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,1,1,Yes,Yes,No,No,No,No,No,Yes,No,No,,No,No,Yes,Yes,Have an emergency kit available,Own a house,Married,"$80,000-$89,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,Under 6 only,4
125,1,0.57,Male,40,South,West Virginia,Rural,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,1,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,Yes,Nothing in particular,Rent,Divorced or separated,"$10,000-$14,999","Some college credit, but less than 1 year",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
126,1,0.68,Male,24,Midwest,Ohio,Rural,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,Yes,No,Not concerned at all,Very prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,15,,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,Not sure,None,Prefer not to answer,"Single, never married","$55,000-$59,999",Grade 9 to 11,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Less than half of it,Under 6 only,3
128,1,0.94,Male,18,South,Texas,Rural,Man,,Straight/heterosexual,,No,No,No,No,Yes,No,No,No,No,Somewhat concerned,Somewhat prepared,Yes,4-7 days,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,1,,,,,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,Yes,Have an emergency exit planned in ur hose for you and your pets,Rent,Living with partner,"$50,000-$54,999","Associate's degree (AA, AS, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,Almost all of it,None Under 18,0
130,1,1.4,Male,32,South,Texas,Suburban,Man,,Straight/heterosexual,,No,Yes,No,Yes,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat not prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,No,1,0,0,0,0,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Yes,Yes,Be prepared,Own a house,"Single, never married","$75,000-$79,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
131,1,0.64,Female,58,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Neither concerned nor not concerned,Somewhat prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,Yes,1,0,0,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,Yes,"don't abandon your pets; take them, or contact a shelter, friend, neighbor, whatever",Own a house,Married,"$70,000-$74,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
133,1,1.54,Female,55,Midwest,Illinois,Rural,Woman,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,No,No,Somewhat not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Take food/bedding/medicine.,Own a house,"Single, never married","$100,000-$124,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
